time,position,velocity,energy
292,97.6111,17.7978,4922.34
292.5,93.7055,-31.118,4874.53
293,66.8576,-72.415,4856.93
293.5,23.6406,-95.9823,4885.74
294,-25.3645,-96.0498,4934.46
294.5,-68.1594,-72.6009,4958.3
295,-94.2666,-31.3768,4935.34
295.5,-97.2939,17.5294,4886.7
296,-76.5004,62.1438,4857.08
296.5,-36.9769,91.5433,4873.73
297,11.5999,98.5297,4921.33
297.5,57.3366,81.3927,4956.13
298,89.0353,44.3279,4946.12
298.5,98.935,-3.58996,4900.51
299,84.612,-50.6288,4861.24
299.5,49.5731,-85.272,4864.4
300,2.39689,-99.0376,4907.1
300.5,-45.3661,-88.5554,4950.07
301,-82.0219,-56.3917,4953.81
301.5,-98.5959,-10.4213,4914.88
302,-91.0302,38.1005,4869.07
302.5,-61.1771,77.294,4858.5
303,-16.3457,97.5633,4892.89
303.5,32.4877,93.9456,4940.61
304,73.367,67.3268,4957.8
304.5,96.2834,24.224,4928.65
305,95.6264,-24.8096,4879.96
305.5,71.5566,-67.769,4856.5
306,29.9673,-94.1362,4879.83
306.5,-18.959,-97.4555,4928.51
307,-63.2435,-76.9144,4957.78
307.5,-92.0438,-37.5419,4940.73
308,-98.3086,11.0222,4893.03
308.5,-80.504,56.8876,4858.54
309,-42.9892,88.825,4868.97
309.5,5.05086,99.0149,4914.73
310,51.8543,84.9625,4953.75
310.5,85.962,50.1084,4950.15
311,99.0231,2.98591,4907.25
311.5,87.84,-44.8676,4864.48
312,55.1506,-81.7359,4861.17
312.5,8.95838,-98.5925,4900.36
313,-39.4272,-91.3101,4946.02
313.5,-78.1596,-61.6719,4956.17
314,-97.7558,-16.9342,4921.48
314.5,-93.418,31.9495,4873.84
315,-66.2082,73.0109,4857.06
315.5,-22.7883,96.1967,4886.56
316,26.2109,95.8302,4935.22
316.5,68.7928,72.0011,4958.3
317,94.5318,30.5436,4934.59
317.5,97.1261,-18.392,4885.88
318,75.9406,-62.8246,4856.95
318.5,36.1621,-91.8756,4874.41
319,-12.4701,-98.4322,4922.2
319.5,-58.0491,-80.8891,4956.38
320,-89.4158,-43.5416,4945.53
320.5,-98.8903,4.46638,4899.62
321,-84.1531,51.3809,4860.87
321.5,-48.8122,85.7155,4864.89
322,-1.5204,99.0641,4908
322.5,46.1436,88.1582,4950.55
323,82.5101,55.6682,4953.43
323.5,98.6752,9.54864,4913.99
324,90.6812,-38.9087,4868.49
324.5,60.4853,-77.8399,4858.76
325,15.4804,-97.7132,4893.75
325.5,-33.3146,-93.6628,4941.29
326,-73.953,-66.6806,4957.67
326.5,-96.4851,-23.3726,4927.83
327,-95.3944,25.6579,4879.2
327.5,-70.9477,68.4063,4856.5
328,-29.1306,94.4065,4880.59
328.5,19.8187,97.2928,4929.33
329,63.9157,76.3583,4957.9
329.5,92.3639,36.7287,4940.04
330,98.1982,-11.8934,4892.17
330.5,79.9902,-57.6036,4858.3
331,42.1977,-89.2104,4869.57
331.5,-5.92618,-98.9754,4915.62
332,-52.5991,-84.5077,4954.11
332.5,-86.394,-49.3497,4949.66
333,-99.0366,-2.10906,4906.35
333.5,-87.4316,45.6479,4864.01
334,-54.4203,82.2287,4861.56
334.5,-8.08496,98.677,4901.26
335,40.2298,90.9657,4946.6
335.5,78.6949,60.9829,4955.9
336,97.8928,16.0693,4920.61
336.5,93.1231,-32.7786,4873.17
337,65.5536,-73.6011,4857.2
337.5,21.9343,-96.4036,4887.38
338,-27.0553,-95.6031,4935.97
338.5,-69.4208,-71.3956,4958.29
339,-94.7896,-29.708,4933.82
339.5,-96.9507,19.2532,4885.06
340,-75.3748,63.5005,4856.84
340.5,-35.3446,92.2007,4875.1
341,13.3392,98.3269,4923.06
341.5,58.7572,80.3793,4956.62
342,89.7893,42.752,4944.93
342.5,98.8379,-5.34245,4898.73
343,83.6875,-52.1289,4860.51
343.5,48.0475,-86.1524,4865.39
344,0.643786,-99.0827,4908.9
344.5,-46.9175,-87.7542,4951.03
345,-82.9918,-54.9404,4953.04
345.5,-98.7468,-8.67522,4913.09
346,-90.3251,39.7139,4867.91
346.5,-59.7887,78.3797,4859.03
347,-14.6139,97.8554,4894.62
347.5,34.1388,93.3727,4941.96
348,74.5332,66.0291,4957.52
348.5,96.6793,22.5192,4927
349,95.1549,-26.5041,4878.46
349.5,70.3332,-69.0383,4856.52
350,28.2916,-94.6695,4881.36
350.5,-20.6769,-97.1223,4930.14
351,-64.5829,-75.7962,4958.01
351.5,-92.6768,-35.9126,4939.35
352,-98.0801,12.7638,4891.31
352.5,-79.4701,58.3151,4858.07
353,-41.403,89.5888,4870.18
353.5,6.80103,98.9281,4916.51
354,53.3399,84.0463,4954.46
354.5,86.8193,48.5871,4949.15
355,99.0423,1.23204,4905.45
355.5,87.0163,-46.4247,4863.54
356,53.6857,-82.715,4861.96
356.5,7.21092,-98.7538,4902.15
357,-41.0293,-90.6142,4947.17
357.5,-79.2241,-60.2891,4955.62
358,-98.0221,-15.2032,4919.74
358.5,-92.8209,33.6051,4872.51
359,-64.8939,74.1856,4857.36
359.5,-21.0785,96.6029,4888.21
360,27.8975,95.3685,4936.71
360.5,70.0433,70.7845,4958.26
361,95.0401,28.87,4933.05
